,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
'm',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.219999999986252,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.15000000000000002,0.2,0.0
'e',0.0,0.27999999999999986,4.279999999991454,0.2799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.25,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'u',0.0,0.0,0.0,0.0,0.0,0.27999999999999997,4.179999999991894,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3099999999999959,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'n',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999999,0.0,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.149999999986556,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25,0.25,0.0,0.0
'x',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.15000000000000002,0.27999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,4.229999999986869,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.27999999999999603,0.2,0.0,0.0,0.0,0.0,0.0,0.0
'y',0.0,0.0,0.0,0.0,0.15000000000000002,4.1599999999914266,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25,0.2799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'g',0.0,0.0,0.0,0.2799999999999999,0.27999999999999997,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.259999999986292,0.3099999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.2,0.2799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'<',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.27999999999999986,0.27999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2999999999999997,3.729999999999986,4.2199999999932185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2999999999999995,0.2799999999999999
'z',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.27999999999999997,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999983,4.09999999998658,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'l',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2799999999999999,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,4.229999999986422,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999999,0.2799999999999999,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
